id,name,created_at,updated_at,client_short,platform_name
02b99224-ccaa-4f5a-8722-6822dae83c09,Quaker Houghton,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,QAHO,QUAKER HOU
097a6210-ace2-4e35-ba6e-73161a48071d,Business Software Alliance (BSA),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,BSA,BSA
0a4fd010-5c58-409d-b292-5224470f07bd,Source Logistics,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,SOLO,SOURCE LOG
0c4ef257-474b-443a-9775-8cfe1577c8c6,L3Harris,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,L3H,L3HARRIS
0ca65e15-8788-43f7-a04a-42782eb37f3b,IVI RMA,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,IVRM,IVI RMA
0cb60f6c-6f0a-4107-a0bf-1ca90c8a0e65,Arizona State University,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ASU,ASU
0cdedaf1-9df0-469e-912a-140ba332fbf6,Texas Parks and Wildlife Department (TPWD),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,TPWD,TEXAS PARKS
128086e3-43fc-4242-882e-178082c7704b,Thom Browne,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,THBR,THOMBROWNE
16aeb90b-87a7-47c0-8c4f-47544c48efdc,ABB,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ABB,ABB
18268994-3212-42b1-a72c-56b89df390ba,Alcon,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ALC,ALCON
192d9265-b4e7-4c66-b6d0-4ad53b4c4f4a,University of Colorado,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UOCOL,UNI OF COL
1980aa7e-b03b-4cb3-942a-65b2af98b8bb,University of California - San Francisco,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UOCSF,UOC SF
1c8bbc2f-45a6-4093-8eb0-ed61bb14ced3,Alaska Railroad Corporation (ARRC),2025-05-29 22:11:29.63795+00,2025-05-29 22:11:29.63795+00,ARRC,ALASKA RAIL
1cdff47d-9959-4a33-a4b8-0a51d39e8aad,Stanford University (Support),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,SFU,STANFORD
1d9f87f6-816b-4a9d-94d7-b839849e0edc,BioTechne,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,BIOT,BIO TECHNE
1df5d79a-c559-4e31-866a-c6f1b51c93fd,Pfizer Medical,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,PMI,PMI
1f51147f-aa1c-4112-9c02-4d4adf7d84a1,Eastern Bank,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,EAST,EAST BANK
2113656b-4d88-4861-934a-38bf22c0d01e,Old Dominion,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ODU,ODU
2204bae4-5021-4996-a58b-c39fd6321c9f,Manhattan Theatre Club,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,MTC,MAN THEATR
261fe232-4fca-4d99-8ae2-4bcd089101e0,RCYC,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,RCR,RCYC
29bf4397-5f06-43af-8738-d260ff7e9d2c,Gilead Sciences,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,GISC,GILEAD
2bfa09fc-413c-4bd0-9508-628a5737576a,University of California,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UOC,UNI OF CAL
2d71bb34-cfd7-4df8-ad30-44e29187d8f1,Jelly Belly,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,JEBE,JELLYBELLY
2e07e3ed-3dde-4795-a9c7-d1e161e8c08d,Leidos,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,LEID,LEIDOS
2f524670-245b-408e-aa21-00ea8e7ed78b,University of Pennsylvania,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UOP,UPENN
32de3992-b204-4acd-9dc8-05fc5ee6ecac,Deep Instinct,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,DEEPI,DPINSTINCT
3690a377-d62c-4a46-afd0-3335cccbd980,RXO,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,RXO,RXO
375add74-e7b6-4e5b-abe4-0dbacec4f1ce,Ritz Carlton Yacht Club,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,RCYC,RCYC2
3ade792a-f6e2-4cc6-9106-cdd9674a753a,IES Abroad,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,IESA,IES ABROAD
415c80fe-7769-4465-bac3-949d6830a4a8,Great Expectations,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,GREX,GREAT EXP
43967229-bd35-40f4-96d4-a12d16ece076,SUNY Polytechnic Institute,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,SPI,SUNY POLY
